127.0.0.1 - - [21/Mar/2025:19:14:47 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:14:48 +0530] "GET /ServletApplicationProject-1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:14:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:14:50 +0530] "GET /ServletApplicationProject-1/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:14:59 +0530] "POST /ServletApplicationProject-1/admin HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:15:03 +0530] "GET /ServletApplicationProject-1/view HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:15:11 +0530] "GET /ServletApplicationProject-1/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:15:36 +0530] "POST /ServletApplicationProject-1/addStudent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:22:13 +0530] "POST /ServletApplicationProject-1/addStudent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:23:24 +0530] "POST /ServletApplicationProject-1/admin HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:23:47 +0530] "POST /ServletApplicationProject-1/addStudent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:26:26 +0530] "GET /ServletApplicationProject-1/studentLogin.html HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:26:32 +0530] "POST /ServletApplicationProject-1/student HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:26:49 +0530] "POST /ServletApplicationProject-1/admin HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:27:20 +0530] "POST /ServletApplicationProject-1/addStudent HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:27:28 +0530] "GET /ServletApplicationProject-1/view HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:53:59 +0530] "POST /ServletApplicationProject-1/admin HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:54:13 +0530] "POST /ServletApplicationProject-1/admin HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:54:16 +0530] "GET /ServletApplicationProject-1/view HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [21/Mar/2025:19:55:00 +0530] "POST /ServletApplicationProject-1/student HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [21/Mar/2025:20:08:27 +0530] "POST /ServletApplicationProject-1/student HTTP/1.1" 200 240
